,error,filling_factor,flux,time,detect,back_level,xrt_flux,detection_type,xrt_error
0,0.000757529574912,0.29636284709,0.000508166325744,58010.3488123,False,0.000674848386552,0.000508166325744,upper_limit,
1,0.00122147973161,0.29636284709,0.000508166267537,58010.4066827,False,0.00337424199097,0.000508166267537,upper_limit,
2,0.000899364647921,0.295359939337,0.000169963954249,58010.4645531,False,0.00203141965903,0.000169963954249,upper_limit,
3,0.0013098634081,0.296864330769,-0.00118371855933,58010.5224234,False,0.00741079309955,0.00741079309955,upper_limit,
4,0.00188505265396,0.238193497062,0.000843021203764,58010.5802938,False,0.00671722786501,0.000843021203764,upper_limit,
5,0.00208293320611,0.20450283587,0.00343666435219,58010.6381642,True,0.00195596320555,0.00343666435219,detection,0.00208293320611
6,0.00441146129742,0.0321862921119,-0.00311937392689,58010.6960345,False,0.0124276513234,0.0124276513234,upper_limit,
7,0.00141575164162,0.100291997194,-0.00100108759943,58010.7539049,False,0.00398835400119,0.00398835400119,upper_limit,
8,0.00147762009874,0.271791309118,0.00147762009874,58095.9390901,False,0.00294343475252,0.00147762009874,upper_limit,
9,0.00131394481286,0.187170267105,0.000536415725946,58095.9969605,False,0.00213709147647,0.000536415725946,upper_limit,
10,0.0,0.000375766336219,0.0,58096.0548308,False,0.0,0.0,upper_limit,
11,0.00109543942381,0.330462127924,-0.000759550544899,58096.6335345,False,0.00544691737741,0.00544691737741,upper_limit,
12,0.00131877406966,0.29485848546,0.000170253013493,58096.6914049,False,0.00474804034457,0.000170253013493,upper_limit,
13,0.00110457383562,0.222648233175,0.000450940366136,58096.8071457,False,0.00179655582178,0.000450940366136,upper_limit,
14,0.00118932384066,0.326951920986,-0.00107478734571,58096.865016,False,0.00672881817445,0.00672881817445,upper_limit,
15,0.000523879076354,0.271033108234,-0.000370438443497,58096.9228864,False,0.00147583452053,0.00147583452053,upper_limit,
16,1.62539591704e-13,0.0549159012735,-1.14932857068e-13,58096.9807568,False,0.0,0.0,upper_limit,
17,0.00236615887843,0.180024147034,0.00167312694248,58097.1543679,False,0.00666577275842,0.00167312694248,upper_limit,
18,0.000599453633185,0.334975272417,-0.000599453633185,58097.2701086,False,0.00238823588006,0.00238823588006,upper_limit,
19,0.000951905851252,0.31642127037,-0.000158650989761,58097.327979,False,0.0031603439711,0.0031603439711,upper_limit,
20,0.00113247334957,0.234562948346,0.000214017403778,58097.3858494,False,0.00255794869736,0.000214017403778,upper_limit,
21,0.0005905405269,0.170015573502,-0.00029527026345,58097.4437197,False,0.00117636285722,0.00117636285722,upper_limit,
22,0.000904081272893,0.248322412372,0.000606476154644,58097.5015901,False,0.000805404561106,0.000606476154644,upper_limit,
23,0.000869558134582,0.282823443413,0.000354995601811,58097.5594605,False,0.00141430995427,0.000354995601811,upper_limit,
24,0.00159535871353,0.12586645782,0.00159535871353,58097.6173308,False,0.0,0.00159535871353,upper_limit,
25,0.000950530753471,0.236187666655,0.000637635414023,58097.6752012,False,0.000846784270834,0.000637635414023,upper_limit,
26,0.00107864360325,0.186161711812,-0.00107864360325,58102.7677938,False,0.00429733889177,0.00429733889177,upper_limit,
27,1.19750251924e-13,0.105413407087,-1.19750251924e-13,58102.8256642,False,0.0,0.0,upper_limit,
28,0.0014173546806,0.200357139111,3.31482413675e-14,58102.8835345,False,0.00399286998436,3.31482413675e-14,upper_limit,
29,0.0014492336195,0.324946075678,0.000308977614623,58102.9414049,False,0.00615486735478,0.000308977614623,upper_limit,
30,0.00144652661402,0.310403734446,0.000646906381007,58102.9992753,False,0.00515457708389,0.000646906381007,upper_limit,
31,0.000794513965957,0.252735853195,-0.000794513965957,58103.0571457,False,0.00316536030732,0.00316536030732,upper_limit,
32,1.37557703401e-13,0.0917671769857,-1.37557703401e-13,58103.115016,False,0.0,0.0,upper_limit,
33,0.0029149625916,0.128875225782,0.000779056572355,58103.3464975,False,0.00931133236736,0.000779056572355,upper_limit,
34,0.000458163674921,0.219138026237,-0.00022908183746,58103.4043679,False,0.00091266684467,0.00091266684467,upper_limit,
35,0.00141677213833,0.158461362123,0.000950399611611,58103.4622382,False,0.0012621373171,0.000950399611611,upper_limit,
36,0.000948898261413,0.211616113782,0.000948898261413,58103.6358494,False,0.0,0.000948898261413,upper_limit,
37,0.00221337936819,0.143444031477,0.00209979619831,58103.6937197,False,0.002788543934,0.00209979619831,upper_limit,
38,0.00108761200681,0.244238093495,0.000205539399758,58103.7515901,False,0.00245661917143,0.000205539399758,upper_limit,
39,0.00401292042807,0.0250194557011,-0.00200646021403,58103.8094605,False,0.00799377914518,0.00799377914518,upper_limit,
40,0.000533518323209,0.325949013233,-0.000462040421553,58104.3302938,False,0.00184077874292,0.00184077874292,upper_limit,
41,0.00125758419745,0.178519755602,0.000843613117468,58104.3881642,False,0.00112032413017,0.000843613117468,upper_limit,
42,0.00100407924037,0.141411721706,-0.000709991203621,58104.4460345,False,0.00282861990854,0.00282861990854,upper_limit,
43,0.00130717793945,0.254741668701,0.000985322520137,58104.5039049,False,0.00235532713123,0.000985322520137,upper_limit,
44,0.00129172590096,0.155452594161,0.00129172590096,58104.677516,False,0.0,0.00129172590096,upper_limit,
45,0.0,0.145423397422,0.0,58104.7353864,False,0.0,0.0,upper_limit,
46,0.0,0.128373757005,0.0,58104.7932568,False,0.0,0.0,upper_limit,
47,0.00526888202876,0.0190554801375,-0.00263444101438,58104.8511271,False,0.0104956682771,0.0104956682771,upper_limit,
48,5.66960791737e-14,0.111324116588,-2.83480395868e-14,58104.9089975,False,0.0,0.0,upper_limit,
